101,BLT
102,onion rings
103,burger
104,scrambled eggs
105,fried chicken
106,macaroni and cheese
107,calamari
108,pancake
109,buffalo wings
110,caesar salad
111,waldorf salad
112,pasta salad
113,grilled cheese
114,mashed potato
115,corn dogs
116,pepperoni pizza
117,eggs benedict
118,fried eggs
119,meatloaf
120,hash browns
121,clam chowder
122,tomato soup
123,poutine
124,hot dogs
125,baked potato
126,beef tacos
127,bean burrito
128,fajita
129,enchilada
130,tamales
201,chicken parmesan
202,minestrone
203,spaghetti and meatballs
204,penne alla vodka
205,pizza marghetta
206,spaghetti carbonara
207,fish and chips
208,bangers and mash
209,shepherd's pie
210,boxty
211,colcannon
212,cottage pie
213,croque monsieur
214,foie gras
215,escargot
216,bratwurst
217,currywurst
218,pierogi
219,sauerkraut
220,porkolt hungarian stew
221,goulash
222,mussels
223,beef bourguignon
224,wiener schnitzel
225,pasta e fagioli
226,fattoush
227,tabbouleh
228,hummus
229,falafel
230,shish kabob
301,kung pao chicken
302,chinese spring rolls
303,mapo tofu
304,yaki udon noodle
305,kimchi
306,shrimp tempura
307,california roll
308,spicy tuna roll
309,potstickers
310,tuna sashimi
311,salmon sashimi
312,tuna nigiri
313,salmon nigiri
314,authentic japanese ramen
315,spider roll
316,miso soup
317,bulgogi
318,galbi
319,bibimbap
320,sichuan boiled fish
321,general's chicken
322,pork lo mein
323,pork fried rice
324,udon noodle soup
325,sour soup
401,indian chicken curry
402,pho
403,pad thai
404,singapore rice noodle
405,indian lamb curry
406,vietnam spring roll
407,thai green curry chicken
408,thai red curry chicken 
409,vegetable biryani
410,chapati
411,tom yum goong
412,thai fried rice
413,vietnam sandwish
414,char siu
415,roast goose
416,dal makhani
417,roti jala
418,chana masala
419,naan
420,shumai
421,samosa
422,wanton noodle
423,singapore curry laksa
424,hainanese chicken rice
425,masala dosa
